Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Fruits & Vegetables,"These were once called ""love apples"", perhaps because eating them was thought to make you fall in love",tomatoes,Leslie Nielsen,False,False,$400,False,9,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
World Cities,This southern seaport is the second-largest city in France,Marseille,Leslie Nielsen,False,False,$400,False,24,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
"""Union""S",It's a co-op banking association in which members pool their savings and lend to each other,credit union,Leslie Nielsen,False,False,$400,False,18,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
The Elements,It's the first element on the periodic table that's a gas,hydrogen,,True,False,$500,False,12,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
Tv Sitcoms,The 1957 pilot for this series featured Casey Adams as Ward & Paul Sullivan as Wally,Leave It to Beaver,Dean Cain,False,False,$500,False,23,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
Fruits & Vegetables,"This second-largest citrus fruit is believed to be a mutation of the largest, the shaddock",grapefruit,Leslie Nielsen,False,False,$500,False,10,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
World Cities,About 1/3 of all Chileans live in this capital city,Santiago,,True,False,$500,False,25,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
"""Union""S",This company erected the first transcontinental telegraph line,Western Union,Elayne Boosler,False,False,$500,False,19,Show #2111,"Monday, November 8, 1993",Jeopardy! Round
History,in 1866 this city of canals on the Adriatic Sea became a part of the Kingdom of Italy,Venice,Elayne Boosler,False,False,$200,False,1,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Famous Landmarks,Engineers Emile Nouguier & Maurice Koechlin helped design this 984-foot Paris structure,the Eiffel Tower,Leslie Nielsen,False,False,$200,False,12,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hints From Heloise,Rock-solid ice cream will become easy to scoop if zapped on low in one of these devices,a microwave oven,Dean Cain,False,False,$200,False,2,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
American Literature,"Characters in this Mark Twain novel include ""The Dauphin"", the Widow Douglas & Jim, a runaway slave",Huck Finn,Leslie Nielsen,False,False,$200,False,21,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hollywood Hodgepodge,A person with this job is also called a ten percenter,an agent,Elayne Boosler,False,False,$200,False,7,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
History,"On July 26, 1952 this country's King Farouk was forced to abdicate by the military",Egypt,Elayne Boosler,False,False,$400,False,3,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Famous Landmarks,"On this S. Dakota landmark, the head of Washington is about as high as a 5-story building",Mount Rushmore,Dean Cain,False,False,$400,False,13,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hints From Heloise,"To stop bad odors coming from this kitchen device, try grinding orange or lemon peels in it",a garbage disposal,Leslie Nielsen,False,False,$400,False,17,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
American Literature,In this tale a sleepy Dutch colonist meets the spirits of Henry Hudson's crew playing ninepins,Rip Van Winkle,Leslie Nielsen,False,False,$400,False,22,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hollywood Hodgepodge,"Frankly, my dear, he proposed to Carole Lombard at the Brown Derby in 1939",Clark Gable,Dean Cain,False,False,$400,False,8,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
History,He helped form France's Fifth Republic in 1958 & served as its president until he resigned in 1969,de Gaulle,Leslie Nielsen,False,False,$600,False,4,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Famous Landmarks,"This Roman landmark, also known as the Flavian Amphitheatre, was dedicated in 80 A.D.",the Colosseum,Leslie Nielsen,False,False,$600,False,14,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hints From Heloise,"Don't say ""No one's home"" in your message on this; let prospective burglars guess",the answering machine,Dean Cain,False,False,$600,False,18,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
American Literature,"While an editor of Graham's Magazine, he wrote ""The Masque of the Red Death""",Edgar Allan Poe,Leslie Nielsen,False,False,$600,False,23,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hollywood Hodgepodge,Some say this magician haunts the ruins of his Laurel Canyon estate,Houdini,Dean Cain,False,False,$600,False,9,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
History,"On October 15, 1917 she was executed by a French firing squad as a spy",Mata Hari,Elayne Boosler,False,False,$800,False,5,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Famous Landmarks,The Great Temple of the Aztecs in this capital city was discovered in 1978 & can now be toured,Mexico,Leslie Nielsen,False,False,$800,False,15,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hints From Heloise,Readers tell Heloise that freezing panty hose helps keep them from doing this,running,Elayne Boosler,False,False,$800,False,19,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
American Literature,This Jack London title animal is the offspring of a wolf & an Indian wolfdog,White Fang,,True,False,$800,False,24,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hollywood Hodgepodge,"The hotel that once housed this ""It"" girl's ""It"" Cafe is now a retirement home on Vine Street",Clara Bow,Leslie Nielsen,False,False,$800,False,10,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
History,"Killed at Trafalgar, this British commander's last words were ""Thank God I have done my duty""",Lord Nelson,Elayne Boosler,False,False,"$1,000",True,6,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Famous Landmarks,Excerpts from the Va. Statute for Religious Freedom appear on a wall of this D.C. presidential landmark,the Jefferson Memorial,Leslie Nielsen,False,False,"$2,000",True,16,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hints From Heloise,Heloise suggests using this mixer on fresh wine stains on the carpet,soda water,Dean Cain,False,False,$1000,False,20,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
American Literature,This 1974 James A. Michener novel tells the story of a fictional Colorado town through the years,Centennial,Leslie Nielsen,False,False,$1000,False,25,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
Hollywood Hodgepodge,"On August 23, the anniversary of his 1926 death, you may see a ""Lady in Black"" at his gravesite",Valentino,Leslie Nielsen,False,False,$1000,False,11,Show #2111,"Monday, November 8, 1993",Double Jeopardy! Round
First Ladies,In 1992 Mount Vernon started a tradition of free admittance to women named Martha on her birthday,Martha Washington,Teri Garr,False,False,$100,False,2,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Fannie Farmer Cookbook,"To make 1 cup of hollandaise sauce, you need 1 tablespoon of this citrus juice",lemon,Teri Garr,False,False,$100,False,21,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Middle Names,In 1969 this Beatle changed his middle name from Winston to Ono,John Lennon,Teri Garr,False,False,$100,False,15,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
U. S. A.,There's a macadamia nut festival in this state every year,Hawaii,Teri Garr,False,False,$100,False,8,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Foreign Words & Phrases,In Esperanto this animal is a porko,a pig,Ed Asner,False,False,$100,False,12,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
First Ladies,"She confessed, ""My life didn't really begin until I met Ronnie""",Nancy Reagan,Teri Garr,False,False,$200,False,1,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Fannie Farmer Cookbook,Fannie's recipe for the Philadelphia type of this is even richer & creamier than French vanilla,ice cream,Pat Sajak,False,False,$200,False,22,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Middle Names,This inventor took the middle name Graham to set himself apart from his father and grandfather,(Alexander Graham) Bell,Pat Sajak,False,False,$200,False,17,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
U. S. A.,"In the 1870s there were ""rushes into the South Dakota area for land & for this",gold,Ed Asner,False,False,$200,False,6,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Foreign Words & Phrases,"Julio isn't just Mr. Iglesias' first name, it's the Spanish word for this month",July,Pat Sajak,False,False,$200,False,14,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Chinese Theatre,"He wrote, ""Many happy trails"" in cement above imprints of his gun & Trigger's hoofprints",Roy Rogers,Teri Garr,False,False,$200,False,26,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
First Ladies,She was married at the Plains Methodist Church in 1946,Rosalynn Carter,Ed Asner,False,False,$300,False,3,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Fannie Farmer Cookbook,A different version of this ever-popular salad is made with shredded Chinese cabbage & watercress,cole slaw,Pat Sajak,False,False,$300,False,23,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Middle Names,"This broadcaster's middle name is Leland, and that's the way it is",Walter Cronkite,Pat Sajak,False,False,$300,False,18,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
U. S. A.,"Though it's widely cultivated, the Monterey cypress is native only to this state",California,Ed Asner,False,False,$300,False,9,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Foreign Words & Phrases,"If an Italian doctor tells you ""apra la bocca"", he wants you to open this",your mouth,Pat Sajak,False,False,$300,False,11,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Chinese Theatre,"She wrote, ""Love to you all"" over her tiny bare footprints in 1935; she was only 6 years old",Shirley Temple,Pat Sajak,False,False,$300,False,27,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
First Ladies,"Theodore Roosevelt said at her wedding, ""There's nothing like keeping the name in the family""",Eleanor Roosevelt,Ed Asner,False,False,$400,False,4,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Fannie Farmer Cookbook,"Shrimp wiggle and Welsh rabbit are both served on top of this, but for shrimp wiggle it's buttered",toast,Teri Garr,False,False,$400,False,24,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Middle Names,Middle name of New York senator Daniel Moynihan,Patrick,Pat Sajak,False,False,$400,False,19,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
U. S. A.,"This ""Tar Heel State"" is also nicknamed ""The Old North State""",North Carolina,Pat Sajak,False,False,$400,False,7,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Foreign Words & Phrases,"""Bitte stutzen sie den schnurrbart"" means ""Please trim my moustache"" in this language",German,Teri Garr,False,False,$400,False,13,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
First Ladies,"Appropriately, her White House portrait hangs in the bedroom named for her husband",Mrs. (Mary Todd) Lincoln,Ed Asner,False,False,$500,False,5,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
The Fannie Farmer Cookbook,Cut these tails into 2-inch pieces & dust them with flour before you make the soup named for them,oxtail,Teri Garr,False,False,$500,False,25,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Middle Names,This middle name of Bill Clinton may remind you of another president,Jefferson,Teri Garr,False,False,$500,False,20,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
U. S. A.,The 50 states touch these 3 oceans,"the Atlantic, the Pacific, and the Arctic Ocean",,False,False,"$1,500",True,10,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Foreign Words & Phrases,In French this piece of camping equipment is un sac de couchage,a sleeping bag,Pat Sajak,False,False,$500,False,16,Show #2112,"Tuesday, November 9, 1993",Jeopardy! Round
Art,He returned to Florence in 1501 as a big name; his Pieta for St. Peter's had made him famous,Michelangelo,Ed Asner,False,False,$200,False,2,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Pop Music,"His first single to crack the Top 40 was ""Born to Run"" in 1975",Bruce Springsteen,Pat Sajak,False,False,$200,False,17,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Magazines,The Angus Journal is one of several magazines devoted to the raising of these farm animals,cows,Teri Garr,False,False,$200,False,16,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Science,A ruler is divided into inches & a thermometer is divided into these,degrees,Pat Sajak,False,False,$200,False,9,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
World Lit,"""War and Peace"" was originally written in French & this language",Russian,Ed Asner,False,False,$200,False,7,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Art,"After ""The Birds of America"" this naturalist drew ""The Viviparous Quadrupeds of North America""",Audubon,Ed Asner,False,False,$400,False,15,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Pop Music,"A 1993 release of her greatest hits was titled ""Experience the Divine""",Bette Midler,Teri Garr,False,False,$400,False,18,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Magazines,"As you might guess, ""Vanities"" is a regular feature of this magazine",Vanity Fair,Pat Sajak,False,False,$400,False,22,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Science,"Increased levels of this gas in the atmosphere add to the greenhouse effect, warming the earth",carbon dioxide,Ed Asner,False,False,$400,False,10,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
World Lit,"To support his family in the 1850s, he farmed & wrote magazine stories; his whale tale didn't sell well",Herman Melville,Ed Asner,False,False,$400,False,6,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Art,Artist seen here in a 1658 self-portrait,Rembrandt,Ed Asner,False,False,"$3,000",True,14,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Pop Music,"""Love On The Rocks"" from ""The Jazz Singer"" soundtrack was this performer's biggest hit of the 1980s",Neil Diamond,Teri Garr,False,False,$600,False,19,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Magazines,In 1992 Gloria Steinem launched a British edition of this magazine,Ms.,Pat Sajak,False,False,$600,False,23,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Science,"This light display may be ""Australis"" or ""Borealis""",the aurora,Teri Garr,False,False,$600,False,11,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
World Lit,"Title adjective used to describe Dickens' ""Dorrit"" or Alcott's ""Women""",Little,Ed Asner,False,False,$600,False,5,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Art,First name of German expressionist Beckman or last name of 1960s pop artist Peter,Max,Pat Sajak,False,False,$800,False,8,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Pop Music,"Although this group's ""Stairway To Heaven"" is considered a classic, it was never released as a single",Led Zeppelin,Pat Sajak,False,False,$800,False,20,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Magazines,"For 11 years E.B. White wrote essays for this magazine's ""Talk of the Town""",The New Yorker,Ed Asner,False,False,$800,False,24,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Science,In 1953 Crick & Watson came up with the double helix model for this nucleic acid's molecule,DNA,Pat Sajak,False,False,$800,False,12,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
World Lit,"Hemingway's ""A Farewell to Arms"" is set during this war",the First World War,Ed Asner,False,False,"$1,000",True,4,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Art,"His ""Green Coca-Cola Bottles"" hangs in the Whitney",Andy Warhol,Ed Asner,False,False,$1000,False,3,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Pop Music,"This 1993 soundtrack album includes Jimmy Durante's version of ""As Time Goes By""",Sleepless in Seattle,Teri Garr,False,False,$1000,False,21,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Science,"Making up about 80% of the air, it has to be ""fixed"" before you can use it",nitrogen,Ed Asner,False,False,$1000,False,13,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
World Lit,"You can't say this Norwegian is without peer; he wrote ""Peer Gynt""",Ibsen,Teri Garr,False,False,$1000,False,1,Show #2112,"Tuesday, November 9, 1993",Double Jeopardy! Round
Royalty,An ex-concubine named Wu Hou became this country's empress during the T'ang dynasty,China,,True,False,$100,False,10,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Oscar Night Fashions,"He sported a snazzy red leather bow tie when he grabbed a fistful of Oscars for ""Unforgiven""",Clint Eastwood,Kelsey Grammer,False,False,$100,False,1,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Transportation,"Daisy could tell you that a tandem is one of these ""built for two""",a bicycle,Michael Feinstein,False,False,$100,False,17,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Dance,Follow the hand movements in this Hawaiian dance; they're telling a story,the hula,Kelsey Grammer,False,False,$100,False,12,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
"When You'Re ""Hot""",It's slang for the electric chair,the hot seat,Paula Poundstone,False,False,$100,False,5,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Royalty,"This Tudor king's first, fifth & sixth wives were all named Catherine",Henry VIII,Kelsey Grammer,False,False,$200,False,22,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Oscar Night Fashions,In 1986 this singer-actress' Bob Mackie ensemble featured a wild feathered headdress & a bare navel,Cher,Kelsey Grammer,False,False,$200,False,2,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Transportation,"Mode of transportation in ""Jingle Bells""",a one-horse open sleigh,Michael Feinstein,False,False,$200,False,18,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Dance,To conga you take 3 steps forward and do this,kick,,True,False,$200,False,13,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
"When You'Re ""Hot""","Empty, exaggerated talk is just a lot of this",hot air,Kelsey Grammer,False,False,$200,False,6,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Oscar Night Fashions,"She picked up her Oscar for ""My Cousin Vinny"" in an elegant white Chanel gown with black stripes",Marisa Tomei,Kelsey Grammer,False,False,$300,False,3,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Transportation,The U.S. Space Station contract was awarded to this Seattle plane company,Boeing,Kelsey Grammer,False,False,$300,False,19,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Dance,It's a tap dance without the metal taps,a soft shoe,Kelsey Grammer,False,False,$300,False,14,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
"When You'Re ""Hot""",A little horse sense will tell you it means eager to race,hot to trot,Kelsey Grammer,False,False,$300,False,7,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Oscar Night Fashions,"In 1993 this ""Lorenzo's Oil"" nominee poured herself into a tight gold gown that rivaled the Oscar itself",Susan Sarandon,Paula Poundstone,False,False,$400,False,4,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Transportation,"An ad for this Winter Olympic sport said, ""$30,000. And you still have to push the thing to start it""",a bobsled,Paula Poundstone,False,False,$400,False,20,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Dance,"This ""Singin' in the Rain"" octogenarian helped choreograph Madonna's Fall '93 tour",Gene Kelly,Kelsey Grammer,False,False,$400,False,15,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
"When You'Re ""Hot""","Hotheads know this phrase for ""angry"" comes from the blush of red they get around the neck",hot under the collar,,True,True,$400,False,8,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Oscar Night Fashions,"In 1993 she was in ""A League of Her Own"" in a daringly low-cut black velvet gown designed by Bill Hargate",Geena Davis,,True,False,$500,False,11,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Transportation,"On a 1992 kids' record, last year's Celeb. Jeopardy champ Cheech Marin is the driver of one of these",a school bus,,True,False,$500,False,21,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
Dance,A toned-down version of the rumba reached the U.S. from this island country in the late 1920s,Cuba,,True,False,$500,False,16,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
"When You'Re ""Hot""","Their hit ""Give It Away"" won this alternative rock band a 1993 Grammy",Red Hot Chili Peppers,,True,False,$500,False,9,Show #2113,"Wednesday, November 10, 1993",Jeopardy! Round
U.S.History,In 1906 the U.S. mint in this Rocky Mountain city produced its first coins,Denver,Michael Feinstein,False,False,$200,False,8,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Music,"It's an instrumental in free form that expreses some mood; Gershwin wrote one ""in Blue""",a rhapsody,Kelsey Grammer,False,False,$200,False,19,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The Birds,Many families eat the Beltsville Small type of this bird on Thanksgiving,a turkey,Kelsey Grammer,False,False,$200,False,14,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
U.S.History,"On Oct. 20, 1803 the Senate approved the acquisition of this 828,000-square-mile area from France",the territory of Louisiana (the Louisiana Purchase),Kelsey Grammer,False,False,$400,False,9,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Music,"Italian for ""in chapel style"", it's singing without instrumental accompaniment",a cappella,Kelsey Grammer,False,False,$400,False,7,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Women In Television,"Barbara Walters was originally a writer on this morning show, but she later became one of its hosts",The Today Show,Paula Poundstone,False,False,$400,False,1,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The Birds,The kookaburra is native to this continent,Australia,Michael Feinstein,False,False,$400,False,15,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
U.S.History,"In 1952 Nixon said about this cocker spaniel, ""Regardless of what they say about it, we're gonna keep it""",Checkers,Paula Poundstone,False,False,$600,False,10,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Music,In an orchestra the concertmaster plays this instrument,the violin,Michael Feinstein,False,False,$600,False,6,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Women In Television,Michelle Lee directed some episodes of this series on which she played Karen Fairgate MacKenzie,Knots Landing,Paula Poundstone,False,False,$600,False,2,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The Birds,"This largest bird can run 40 miles an hour, so it hardly matters that it can't fly",an ostrich,Kelsey Grammer,False,False,$600,False,16,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
U.S.History,"In 1954 this New York immigration station known as ""The Gateway to the New World"" closed after 62 years",Ellis Island,Paula Poundstone,False,False,"$1,000",True,11,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Music,"Andreas Vollenweider & Enya are popularly associated with this ""new"" style of music",new age music,Michael Feinstein,False,False,$800,False,5,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Women In Television,"Linda Bloodworth-Thomason wrote every episode of this ""decorative"" sitcom's 2nd season",Designing Women,Michael Feinstein,False,False,$800,False,3,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The Birds,"This ""religious"" red bird is the state bird of Ohio",the cardinal,Michael Feinstein,False,False,$800,False,17,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
U.S.History,Naval battles in this war named for a year included Lake Champlain & Lake Erie,the War of 1812,,True,False,$1000,False,13,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Music,In 1978 this India-born conductor left the Los Angeles symphony to lead the New York Philharmonic,Zubin Mehta,Michael Feinstein,False,False,$1000,False,4,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
Women In Television,"Last name of the creator of ""Murphy Brown"", or the subject she once taught in high school",Diane English,Kelsey Grammer,False,False,$1000,False,12,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The Birds,A bird that's described as apivorous eats these insects,bees,,False,False,"$1,000",True,18,Show #2113,"Wednesday, November 10, 1993",Double Jeopardy! Round
The 20Th Century,"This canal officially opened August 15, 1914",the Panama Canal,Jerry Orbach,False,False,$100,False,25,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
People,"After Lou Costello died, this comic attempted a comeback with a new partner, Candy Candido",Bud Abbott,Jay Thomas,False,False,$100,False,6,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Rock Music,"From 1961 to 1971, Smokey Robinson had 14 Top 20 hits with this group",The Miracles,Jay Thomas,False,False,$100,False,13,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Travel,Stones from this infamous Paris prison were used to build the Pont du la Concorde,the Bastille,Jay Thomas,False,False,$100,False,12,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Potent Potables,"Bourbon was named for a county in this ""Bluegrass State""",Kentucky,Jerry Orbach,False,False,$100,False,1,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Proverbs,"This ""is thicker than water""",blood,Jay Thomas,False,False,$100,False,11,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
The 20Th Century,"James Doolittle led the surprise air raid on this country April 18, 1942",Japan,Jerry Orbach,False,False,$200,False,26,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
People,In the 1950s fashion designer Ralph Lifshitz changed his name to this,Ralph Lauren,Jerry Orbach,False,False,$200,False,7,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Rock Music,"""Hail! Hail! Rock 'N' Roll"" was a 1987 documentary about this pioneer performer",Chuck Berry,Jerry Orbach,False,False,$200,False,14,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Travel,In England crumpets & Chelsea buns are often served at this 4:00 p.m. pick-me-up,tea time,Tabitha Soren,False,False,$200,False,15,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Potent Potables,"Though it's colorless, odorless & not aged, it still packs a wallop in a bloody Mary",Vodka,Jerry Orbach,False,False,$200,False,2,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Proverbs,"""Honesty is the best"" this",policy,Jerry Orbach,False,False,$200,False,18,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
The 20Th Century,"In 1931, while people read ""The Good Earth"", thousands of miles of this Asian country flooded",China,Jerry Orbach,False,False,$300,False,27,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
People,"Books by this celebrity chef include one on ""French Cooking"" & another that includes ""Recipes from Spago""",Wolfgang Puck,Jerry Orbach,False,False,$300,False,8,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Rock Music,"His ""Another Day In Paradise"" won the 1990 Grammy for Record of the Year",Phil Collins,,True,False,$300,False,16,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Travel,"In 1993 Circus Circus opened Grand Slam Canyon, a theme park under a dome, in this city",Las Vegas,Jerry Orbach,False,False,$300,False,22,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Potent Potables,The whiskey in a seven and seven comes from this country,Canada,Jay Thomas,False,False,$300,False,3,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Proverbs,"""A heavy purse makes a light"" one of these organs",a heart,Jerry Orbach,False,False,$300,False,19,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
The 20Th Century,"A May 18, 1954 L.A. Times headline read ""Supreme Court Outlaws"" this ""in Schools","""Segregation""",Jerry Orbach,False,False,$400,False,28,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
People,In 1989 this first American woman in space became the director of the California Space Institute,Sally Ride,Jerry Orbach,False,False,$500,True,9,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Rock Music,"5 years after the release of his first album, he had his first top 10 hit with ""Just The Way You Are""",Billy Joel,Jerry Orbach,False,False,$400,False,17,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Travel,"The Darjeeling Himalayan Railway is a narrow gauge railway that climbs to 7,400' in this country",India,Jerry Orbach,False,False,$400,False,23,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Potent Potables,"At his first sip of this, Dom Perignon cried, ""I am tasting stars!""",champagne,Jay Thomas,False,False,$400,False,4,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
Proverbs,"According to Alexander Pope, ""Hope"" does this ""in the human breast""","""springs eternal""",Jay Thomas,False,False,$400,False,20,Show #2114,"Thursday, November 11, 1993",Jeopardy! Round
